missing_filename,unknowns_matched_filenames,distance,best_match,valid_found
reunited_image_53.png,['john_doe_image_313-checkpoint.png'],"0    1.163867
Name: distance, dtype: float64",john_doe_image_313.png,True
john_doe_image_793.png,"['reunited_image_236-checkpoint.png', 'john_doe_image_442.png', 'reunited_image_140.png', 'reunited_image_714.png', 'reunited_image_714-checkpoint.png', 'reunited_image_526.png', 'facebook_image_2.png']","0    1.114673
1    1.118306
2    1.120385
3    1.158243
4    1.158243
5    1.163219
6    1.168087
Name: distance, dtype: float64",reunited_image_236.png,True
john_doe_image_675.png,"['reunited_image_526.png', 'john_doe_image_13.png', 'john_doe_image_13-checkpoint.png', 'john_doe_image_442.png', 'reunited_image_140.png', 'reunited_image_375.png', 'facebook_image_4.png']","0    1.044388
1    1.067309
2    1.067309
3    1.085148
4    1.104876
5    1.154484
6    1.156993
Name: distance, dtype: float64",reunited_image_526.png,True
reunited_image_615.png,['reunited_image_236-checkpoint.png'],"0    1.149308
Name: distance, dtype: float64",reunited_image_236.png,True
reunited_image_623.png,"['reunited_image_526.png', 'reunited_image_236-checkpoint.png', 'facebook_image_4.png']","0    1.140694
1    1.151603
2    1.163646
Name: distance, dtype: float64",reunited_image_526.png,True
reunited_image_604.png,['john_doe_image_273.png'],"0    1.168452
Name: distance, dtype: float64",john_doe_image_273.png,True
john_doe_image_743.png,['reunited_image_135.png'],"0    1.165626
Name: distance, dtype: float64",reunited_image_135.png,True
reunited_image_183.png,['reunited_image_17.png'],"0    1.14414
Name: distance, dtype: float64",reunited_image_17.png,True
reunited_image_351.png,['reunited_image_325-checkpoint.png'],"0    1.152605
Name: distance, dtype: float64",reunited_image_325.png,True
john_doe_image_570.png,"['reunited_image_375.png', 'john_doe_image_274.png']","0    1.157126
1    1.166222
Name: distance, dtype: float64",reunited_image_375.png,True
reunited_image_670.png,['reunited_image_455.png'],"0    1.103034
Name: distance, dtype: float64",reunited_image_455.png,True
